model,MSE-loss,Regret
Two-stage,11.907058477401733,484.9998872253469
SPO,18.746789932250977,484.9998872253469
QPTL,1057.3394775390625,2251.283601870808
HSD,1038.135498046875,186.28346254966596
Two-stage,8.874836444854736,484.9998872253469
SPO,34.297919273376465,484.9998872253469
QPTL,997.4497375488281,341.28346559499903
HSD,889.30126953125,186.28346254966596
Two-stage,11.20630407333374,484.9998872253469
SPO,18.190089225769043,484.9998872253469
QPTL,953.0854797363281,796.2836575955182
HSD,912.7782287597656,444.9998738470004
Two-stage,10.139299154281616,484.9998872253469
SPO,29.914896965026855,484.9998872253469
QPTL,1000.2349243164062,186.2834631105368
HSD,975.2288818359375,186.28346254966596
Two-stage,11.251939535140991,484.9998872253469
SPO,24.086812019348145,484.9998872253469
QPTL,1023.8454284667969,2096.2835988254747
HSD,724.0599670410156,186.28346254966596
